,S2_PM10,S2_PM25,S2_SO2,S2_CO,S2_03
1199,,,,,9.49
1200,31.4,,,,
1201,,,,,12.71
1202,30.9,,,,
1203,25.1,,,,
1204,,,,651.86,
1205,,9.23,,,
1206,29.6,7.47,11.39,483.74,11.13
1207,,,,396.73,
1208,,,,317.3,
1209,,,,298.02,
1210,,,11.33,,
1211,25.7,,,,
1212,,,,198.12,
1213,,,,208.0,
1214,37.1,,,,
1215,,,,,20.83
1216,,,,319.05,
1217,,,11.39,,
1218,,,,,25.03
1219,,,,858.77,
1220,30.4,,,,
1221,,,,1219.34,
1222,,,,1413.64,
1223,33.4,,,,
1224,,18.91,,,
1225,,,,1483.9,
1226,,,12.83,,
1227,,,,,7.76
1228,,,,1190.48,
1229,48.5,,,,
1230,,,,1004.42,
1231,,12.62,,,
1232,,15.32,,,
1233,,11.21,,,
1234,,,12.6,,
1235,,,,,19.7
1236,,13.58,,,
1237,43.8,,,,
1238,,,,,31.68
1239,,,14.26,,
1240,,,11.24,,
1241,,,12.53,,
1242,,,13.69,,
1243,,14.38,,,
1244,,,,1026.6,
1245,,8.01,,,
1246,42.7,,,,
1247,,,,,20.47
1248,,,11.8,,
1249,,13.06,,,
1250,,,11.18,,
1251,,,11.06,,
1252,,,,,23.97
1253,,,,382.24,
1254,16.3,,,,
1255,,,,,25.52
1256,,,11.05,,
1257,25.9,,,,
1258,28.8,,,,
1259,,,11.73,,
1260,,,,,28.04
1261,,,,523.14,
1262,,,,554.34,
1263,,,,559.33,
1264,28.6,,,,
1265,,,,577.3,
1266,,,,,20.25
1267,,,,,19.09
1268,22.8,,,,
1269,,,,726.67,
1270,,,,,9.98
1271,,,,862.53,
1272,33.1,,,,
1273,,,,,13.66
1274,,,,626.79,
1275,,,11.32,,
1276,,3.39,,,
1277,,3.34,,,
1278,,,,,14.14
1279,,,11.76,,
1280,,,,,21.22
1281,,,,,19.8
1282,28.2,,,,
1283,,,,,26.0
1284,,,12.38,,
1285,,,13.02,,
1286,,,13.72,,
1287,,10.81,,,
1288,,,12.99,,
1289,,,,961.61,
1290,,9.14,,,
1291,,10.97,,,
1292,,11.71,,,
1293,,,,,9.65
1294,,6.79,,,
1295,,7.68,,,
1296,,15.24,,,
1297,,,,433.78,
1298,,,11.8,,
1299,,,11.8,,
1300,,,,339.34,
1301,,,,,31.54
1302,,,,304.02,
1303,,,,356.12,
1304,,,,347.44,
1305,14.0,,,,
1306,,,,,29.6
