,S9_PM10,S9_SO2,S9_NO2,S9_NOX,S9_NO,OUT
497,41.54,2.04,55.28,65.1,9.82,2
498,29.12,1.96,48.87,56.94,8.07,2
499,20.57,1.95,53.97,63.19,9.22,2
500,16.37,1.89,52.54,60.3,7.76,4
501,81.54,1.94,224.06,437.59,213.53,4
502,94.5,1.37,131.7,218.26,86.56,3
503,82.06,0.82,66.19,88.19,22.0,2
504,38.48,1.26,33.45,43.7,10.25,2
505,28.24,0.88,38.78,46.38,7.6,2
506,25.24,0.87,69.84,79.99,10.15,3
507,23.6,1.26,100.25,120.13,19.88,2
508,29.92,1.5,85.5,101.32,15.82,2
509,26.94,1.74,86.46,101.12,14.66,2
510,25.46,1.9,80.83,95.38,14.55,2
511,32.15,2.3,64.37,75.44,11.07,2
512,31.6,2.01,57.34,67.24,9.9,2
513,32.03,1.88,57.39,65.85,8.46,2
514,29.95,1.22,38.71,45.07,6.36,2
515,32.89,0.96,35.5,41.47,5.97,1
516,24.6,0.71,32.15,40.06,7.91,2
517,35.11,0.85,30.93,39.05,8.12,2
518,26.59,0.65,41.33,50.77,9.44,2
519,19.69,0.87,64.68,80.47,15.79,2
520,23.11,1.05,74.84,103.68,28.84,3
521,61.38,2.97,40.83,54.37,13.54,3
522,61.09,2.5,20.84,29.33,8.49,2
523,48.95,2.79,29.63,37.88,8.25,2
524,39.37,2.41,31.09,38.57,7.48,2
525,29.01,2.33,36.32,44.18,7.86,2
526,33.84,2.32,72.72,86.22,13.5,3
527,40.75,2.96,153.03,241.16,88.13,3
528,60.32,2.91,146.91,239.45,92.54,2
529,40.16,2.3,53.35,62.34,8.99,2
530,42.26,2.21,51.99,59.25,7.26,2
531,36.52,2.25,52.39,59.07,6.68,3
532,30.77,2.27,102.42,132.99,30.57,2
533,28.2,3.05,91.56,151.34,59.78,3
534,46.23,4.25,145.03,255.76,110.73,2
535,47.75,3.79,80.58,189.0,108.42,3
536,50.97,3.08,108.48,171.32,62.84,3
537,53.69,3.08,104.03,160.61,56.58,3
538,54.2,3.41,108.74,175.23,66.49,3
539,55.14,3.18,116.5,196.16,79.66,3
540,51.9,2.67,94.13,136.35,42.22,3
541,52.19,2.79,81.17,111.82,30.65,2
542,45.93,2.93,81.05,116.46,35.41,2
543,48.2,3.5,60.7,95.77,35.07,4
544,50.65,5.17,210.39,434.22,223.83,3
545,61.36,4.1,122.81,200.84,78.03,3
546,65.78,3.71,68.11,109.1,40.99,2
547,49.15,3.33,31.15,41.62,10.47,2
548,45.36,3.15,35.03,46.17,11.14,2
549,39.46,3.07,63.41,79.77,16.36,2
550,36.26,3.32,82.88,105.23,22.35,3
551,44.24,3.83,127.53,200.59,73.06,3
552,48.61,5.44,171.35,316.98,145.63,3
553,57.81,7.35,164.39,307.77,143.38,3
554,77.09,7.26,171.13,329.36,158.23,3
555,65.29,4.75,103.99,173.27,69.28,3
556,63.19,4.03,116.57,203.72,87.15,3
557,62.71,5.52,183.49,386.1,202.61,3
558,63.07,4.92,191.06,396.7,205.64,3
559,85.71,3.68,97.83,158.67,60.84,4
560,100.74,2.46,44.17,60.29,16.12,4
561,99.8,2.13,39.75,54.7,14.95,4
562,92.54,2.15,31.77,43.97,12.2,3
563,71.39,2.03,29.79,41.25,11.46,3
564,71.0,2.26,45.67,57.11,11.44,3
565,68.71,2.08,97.45,123.95,26.5,4
566,69.68,4.46,210.27,416.85,206.58,3
567,81.02,3.28,165.84,313.4,147.56,4
568,91.32,2.68,111.87,179.83,67.96,4
569,103.27,3.09,94.99,141.09,46.1,3
570,81.09,2.35,95.95,148.21,52.26,3
571,84.86,2.94,111.6,198.34,86.74,2
572,15.15,0.62,62.71,75.87,13.16,2
